"Year","Total Number of Entries Available","Number of Structures Released Annually"
"2018","139948","3518"
"2017","136430","11118"
"2016","125312","10846"
"2015","114466","9273"
"2014","105193","9585"
"2013","95608","9351"
"2012","86257","8765"
"2011","77492","7941"
"2010","69551","7754"
"2009","61797","7293"
"2008","54504","6908"
"2007","47596","7139"
"2006","40457","6410"
"2005","34047","5339"
"2004","28708","5150"
"2003","23558","4151"
"2002","19407","2995"
"2001","16412","2822"
"2000","13590","2627"
"1999","10963","2356"
"1998","8607","2057"
"1997","6550","1565"
"1996","4985","1173"
"1995","3812","941"
"1994","2871","1289"
"1993","1582","696"
"1992","886","192"
"1991","694","187"
"1990","507","142"
"1989","365","74"
"1988","291","53"
"1987","238","25"
"1986","213","18"
"1985","195","20"
"1984","175","22"
"1983","153","36"
"1982","117","32"
"1981","85","16"
"1980","69","16"
"1979","53","11"
"1978","42","6"
"1977","36","23"
"1976","13","13"
